housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
41,880,129,322,126,8.3252,NEAR BAY,452600
21,7099,1106,2401,1138,8.3014,NEAR BAY,358500
52,1467,190,496,177,7.2574,NEAR BAY,352100
52,1274,235,558,219,5.6431,NEAR BAY,341300
52,1627,280,565,259,3.8462,NEAR BAY,342200
52,919,213,413,193,4.0368,NEAR BAY,269700
52,2535,489,1094,514,3.6591,NEAR BAY,299200
52,3104,687,1157,647,3.12,NEAR BAY,241400
42,2555,665,1206,595,2.0804,NEAR BAY,226700
52,3549,707,1551,714,3.6912,NEAR BAY,261100
52,2202,434,910,402,3.2031,NEAR BAY,281500
52,3503,752,1504,734,3.2705,NEAR BAY,241800
52,2491,474,1098,468,3.075,NEAR BAY,213500
52,696,191,345,174,2.6736,NEAR BAY,191300
52,2643,626,1212,620,1.9167,NEAR BAY,159200
50,1120,283,697,264,2.125,NEAR BAY,140000
52,1966,347,793,331,2.775,NEAR BAY,152500
52,1228,293,648,303,2.1202,NEAR BAY,155500
50,2239,455,990,419,1.9911,NEAR BAY,158700
52,1503,298,690,275,2.6033,NEAR BAY,162900
40,751,184,409,166,1.3578,NEAR BAY,147500
42,1639,367,929,366,1.7135,NEAR BAY,159800
52,2436,541,1015,478,1.725,NEAR BAY,113900
52,1688,337,853,325,2.1806,NEAR BAY,99700
52,2224,437,1006,422,2.6,NEAR BAY,132600
41,535,123,317,119,2.4038,NEAR BAY,107500
49,1130,244,607,239,2.4597,NEAR BAY,93800
52,1898,421,1102,397,1.808,NEAR BAY,105500
50,2082,492,1131,473,1.6424,NEAR BAY,108900
52,729,160,395,155,1.6875,NEAR BAY,132000
49,1916,447,863,378,1.9274,NEAR BAY,122300
52,2153,481,1168,441,1.9615,NEAR BAY,115200
48,1922,409,1026,335,1.7969,NEAR BAY,110400
49,1655,366,754,329,1.375,NEAR BAY,104900
51,2665,574,1258,536,2.7303,NEAR BAY,109700
49,1215,282,570,264,1.4861,NEAR BAY,97200
48,1798,432,987,374,1.0972,NEAR BAY,104500
52,1511,390,901,403,1.4103,NEAR BAY,103900
52,1470,330,689,309,3.48,NEAR BAY,191400
52,2432,715,1377,696,2.5898,NEAR BAY,176000
52,1665,419,946,395,2.0978,NEAR BAY,155400
51,936,311,517,249,1.2852,NEAR BAY,150000
49,713,202,462,189,1.025,NEAR BAY,118800
52,950,202,467,198,3.9643,NEAR BAY,188800
52,1443,311,660,292,3.0125,NEAR BAY,184400
52,1656,420,718,382,2.6768,NEAR BAY,182300
50,1125,322,616,304,2.026,NEAR BAY,142500
43,1007,312,558,253,1.7348,NEAR BAY,137500
40,624,195,423,160,0.9506,NEAR BAY,187500
40,946,375,700,352,1.775,NEAR BAY,112500
21,896,453,735,438,0.9218,NEAR BAY,171900
43,1868,456,1061,407,1.5045,NEAR BAY,93800
41,3221,853,1959,720,1.1108,NEAR BAY,97500
52,1630,456,1162,400,1.2475,NEAR BAY,104200
52,1170,235,701,233,1.6098,NEAR BAY,87500
52,945,243,576,220,1.4113,NEAR BAY,83100
52,1238,288,622,259,1.5057,NEAR BAY,87500
52,1489,335,728,244,0.8172,NEAR BAY,85300
52,1387,341,1074,304,1.2171,NEAR BAY,80300
2,158,43,94,57,2.5625,NEAR BAY,60000
52,1121,211,554,187,3.3929,NEAR BAY,75700
49,135,29,86,23,6.1183,NEAR BAY,75000
50,760,190,377,122,0.9011,NEAR BAY,86100
52,1224,237,521,159,1.191,NEAR BAY,76100
48,828,182,392,133,2.5938,NEAR BAY,73500
52,1010,209,604,187,1.1667,NEAR BAY,78400
48,1455,354,788,332,0.8056,NEAR BAY,84400
52,1027,244,492,147,2.6094,NEAR BAY,81300
52,572,109,274,82,1.8516,NEAR BAY,85000
46,2801,644,1823,611,0.9802,NEAR BAY,129200
26,768,152,392,127,1.7719,NEAR BAY,82500
46,935,297,582,277,0.7286,NEAR BAY,95200
49,844,204,560,152,1.75,NEAR BAY,75000
46,912,104,18,13,1.4999,NEAR BAY,167500
20,835,161,290,133,2.483,NEAR BAY,137500
17,1237,462,762,439,0.9241,NEAR BAY,177500
36,2914,562,1236,509,2.4464,NEAR BAY,102100
19,1207,243,721,207,1.1111,NEAR BAY,108300
23,1745,374,1054,325,0.8026,NEAR BAY,112500
38,684,176,344,155,2.0114,NEAR BAY,131300
17,924,289,609,289,1.5,NEAR BAY,162500
52,210,56,183,56,1.1667,NEAR BAY,112500
52,340,97,200,87,1.5208,NEAR BAY,112500
52,386,164,346,155,0.8075,NEAR BAY,137500
35,948,184,467,169,1.8088,NEAR BAY,118800
52,773,143,377,115,2.4083,NEAR BAY,98200
40,880,451,582,380,0.977,NEAR BAY,118800
10,875,348,546,330,0.76,NEAR BAY,162500
10,105,42,125,39,0.9722,NEAR BAY,137500
52,249,78,396,85,1.2434,NEAR BAY,500001
16,994,392,800,362,2.0938,NEAR BAY,162500
52,215,87,904,88,0.8668,NEAR BAY,137500
52,96,31,191,34,0.75,NEAR BAY,162500
27,1055,347,718,302,2.6354,NEAR BAY,187500
39,1715,623,1327,467,1.8477,NEAR BAY,179200
36,5329,2477,3469,2323,2.0096,NEAR BAY,130000
31,4596,1331,2048,1180,2.8345,NEAR BAY,183800
29,335,107,202,91,2.0062,NEAR BAY,125000
22,3682,1270,2024,1250,1.2185,NEAR BAY,170000
37,3633,1085,1838,980,2.6104,NEAR BAY,193100
29,4656,1414,2304,1250,2.4912,NEAR BAY,257800
28,5806,1603,2563,1497,3.2177,NEAR BAY,273400
39,854,242,389,228,3.125,NEAR BAY,237500
52,2155,701,895,613,2.5795,NEAR BAY,350000
34,5871,1914,2689,1789,2.8406,NEAR BAY,335700
52,1509,225,674,244,4.9306,NEAR BAY,313400
52,2026,482,709,456,3.2727,NEAR BAY,268500
52,1758,460,686,422,3.1691,NEAR BAY,259400
52,3481,751,1444,718,3.9,NEAR BAY,275700
28,3337,855,1520,802,3.9063,NEAR BAY,225000
52,1424,289,550,253,5.0917,NEAR BAY,262500
32,3809,1098,1806,1022,2.6429,NEAR BAY,218500
26,3959,1196,1749,1217,3.0233,NEAR BAY,255000
52,2376,559,939,519,3.1484,NEAR BAY,224100
35,1613,428,675,422,3.4722,NEAR BAY,243100
52,1279,287,534,291,3.1429,NEAR BAY,231600
28,5022,1750,2558,1661,2.4234,NEAR BAY,218500
52,4190,1105,1786,1037,3.0897,NEAR BAY,234100
50,2515,399,970,373,5.8596,NEAR BAY,327600
47,3175,454,1098,485,5.2868,NEAR BAY,347600
41,2576,406,794,376,5.956,NEAR BAY,366100
37,334,54,98,47,4.9643,NEAR BAY,335000
52,2800,411,1061,403,6.3434,NEAR BAY,373600
52,3529,574,1177,555,5.1773,NEAR BAY,389500
52,2612,365,901,367,7.2354,NEAR BAY,391100
28,5287,1048,2031,956,5.457,NEAR BAY,337300
50,2935,473,1031,479,7.5,NEAR BAY,295200
44,3424,597,1358,597,6.0194,NEAR BAY,292300
40,4991,674,1616,654,7.5544,NEAR BAY,411500
30,2211,346,844,343,6.0666,NEAR BAY,311500
34,3038,490,1140,496,7.0548,NEAR BAY,325900
18,1617,210,533,194,11.6017,NEAR BAY,392600
35,2865,460,1072,443,7.4882,NEAR BAY,319300
34,5065,788,1627,766,6.8976,NEAR BAY,333300
28,1326,184,463,190,8.2049,NEAR BAY,335200
26,1589,223,542,211,8.401,NEAR BAY,351200
29,1791,271,661,269,6.8538,NEAR BAY,368900
32,1835,264,635,263,8.317,NEAR BAY,365900
37,1229,181,420,176,7.0175,NEAR BAY,366700
39,3770,534,1265,500,6.3302,NEAR BAY,362800
30,292,38,126,52,6.3624,NEAR BAY,483300
52,2375,333,813,350,7.0549,NEAR BAY,331400
45,2964,436,1067,426,6.7851,NEAR BAY,323500
50,2833,605,1260,552,2.8929,NEAR BAY,216700
38,2254,535,951,487,3.0812,NEAR BAY,233100
52,1389,212,510,224,5.2402,NEAR BAY,296400
52,1971,335,765,308,6.5217,NEAR BAY,273700
52,2183,465,1129,460,3.2632,NEAR BAY,227700
52,2286,464,1073,441,3.0298,NEAR BAY,199600
52,2721,541,1185,515,4.5428,NEAR BAY,239800
52,2024,339,756,340,4.072,NEAR BAY,270100
52,2944,536,1034,521,5.3509,NEAR BAY,302100
52,2033,486,787,459,3.1603,NEAR BAY,269500
52,1433,229,612,213,4.7708,NEAR BAY,314700
52,2927,402,1021,380,8.1564,NEAR BAY,390100
52,2315,292,861,258,8.8793,NEAR BAY,410300
52,2485,313,953,327,6.8591,NEAR BAY,352400
52,1490,238,634,256,6.0302,NEAR BAY,287300
52,2814,365,878,352,7.508,NEAR BAY,348700
52,2093,550,918,483,2.7477,NEAR BAY,243800
52,888,168,360,175,2.1944,NEAR BAY,211500
52,2087,510,1197,488,3.0149,NEAR BAY,218400
52,2513,502,1048,518,3.675,NEAR BAY,269900
46,3232,835,1373,747,3.225,NEAR BAY,218800
42,4120,1065,1715,1015,2.9345,NEAR BAY,225000
43,2364,792,1359,722,2.1429,NEAR BAY,250000
41,1471,469,1062,413,1.6121,NEAR BAY,171400
29,2468,864,1335,773,1.3929,NEAR BAY,193800
27,1632,492,1171,429,2.3173,NEAR BAY,125000
45,1786,526,1475,460,1.7772,NEAR BAY,97500
50,629,188,742,196,2.6458,NEAR BAY,125000
52,1339,391,1086,363,2.181,NEAR BAY,138800
36,1678,606,1645,543,2.2303,NEAR BAY,116700
43,2344,647,1710,644,1.6504,NEAR BAY,151800
52,996,228,731,228,2.2697,NEAR BAY,127000
52,1591,373,1118,347,2.1563,NEAR BAY,128600
52,1586,398,1006,335,2.1348,NEAR BAY,140600
47,2046,588,1213,554,2.6292,NEAR BAY,182700
52,1192,289,772,257,2.3833,NEAR BAY,146900
52,1803,420,1321,401,2.957,NEAR BAY,122800
49,2838,749,1487,677,2.5238,NEAR BAY,169300
52,783,184,488,186,1.9375,NEAR BAY,126600
51,1590,414,949,392,1.9028,NEAR BAY,127900
50,1746,480,1149,415,2.25,NEAR BAY,123500
52,1252,299,844,280,2.3929,NEAR BAY,111900
43,5963,1344,4367,1231,2.1917,NEAR BAY,112800
52,1783,395,1659,412,2.9357,NEAR BAY,107900
30,999,264,1011,263,1.8854,NEAR BAY,137500
39,1469,431,1464,389,2.1638,NEAR BAY,105500
47,1372,395,1237,303,2.125,NEAR BAY,95500
52,674,180,647,168,3.375,NEAR BAY,116100
43,1626,376,1284,357,2.2542,NEAR BAY,112200
51,175,43,228,55,2.1,NEAR BAY,75000
39,461,129,381,123,1.6,NEAR BAY,112500
52,902,237,846,227,3.625,NEAR BAY,125000
20,2373,779,1659,676,1.6929,NEAR BAY,115000
52,391,128,520,138,1.6471,NEAR BAY,95000
52,1137,301,866,259,2.59,NEAR BAY,96400
52,769,206,612,183,2.57,NEAR BAY,72000
52,472,146,415,126,2.6429,NEAR BAY,71300
52,862,215,994,213,3.0257,NEAR BAY,80800
50,1920,530,1525,477,1.4886,NEAR BAY,128800
43,1420,472,1506,438,1.9338,NEAR BAY,112500
52,986,258,1008,255,1.4844,NEAR BAY,119400
44,2340,825,2813,751,1.6009,NEAR BAY,118100
48,1696,396,1481,343,2.0375,NEAR BAY,122500
49,1175,217,859,219,2.293,NEAR BAY,106300
37,2343,574,1608,523,2.1494,NEAR BAY,132500
30,610,145,425,140,1.6198,NEAR BAY,122700
40,930,199,564,184,1.3281,NEAR BAY,113300
44,1487,314,961,272,3.5156,NEAR BAY,109500
52,3424,690,2273,685,3.9048,NEAR BAY,164700
52,762,190,600,195,3.0893,NEAR BAY,125000
46,2366,575,1647,527,2.6042,NEAR BAY,124700
49,1826,450,1201,424,2.5,NEAR BAY,136700
38,3049,711,2167,659,2.7969,NEAR BAY,141700
29,1640,376,939,340,2.8321,NEAR BAY,150000
47,1543,307,859,292,2.9583,NEAR BAY,138800
34,2364,557,1517,516,2.8365,NEAR BAY,139200
35,1745,409,1143,386,2.875,NEAR BAY,143800
39,2003,500,1109,464,3.0682,NEAR BAY,156500
39,2018,447,1221,446,3.0757,NEAR BAY,151000
43,3045,499,1115,455,4.9559,NEAR BAY,273000
52,1547,293,706,268,4.7721,NEAR BAY,217100
52,3519,711,1883,706,3.4861,NEAR BAY,187100
41,2070,354,804,340,5.1184,NEAR BAY,239600
48,1321,263,506,252,4.0977,NEAR BAY,229700
48,1694,259,610,238,4.744,NEAR BAY,257300
46,1938,341,768,332,4.2727,NEAR BAY,246900
50,968,195,462,184,2.9844,NEAR BAY,179900
40,1060,256,667,235,4.1739,NEAR BAY,169600
46,2041,405,1059,399,3.8487,NEAR BAY,203300
52,1813,271,637,277,4.0114,NEAR BAY,263400
45,2718,451,1106,454,4.6563,NEAR BAY,231800
28,3144,761,1737,669,2.9297,NEAR BAY,140500
35,1802,459,1009,390,2.3036,NEAR BAY,126000
49,882,195,737,210,2.6667,NEAR BAY,122000
44,1621,452,1354,491,2.619,NEAR BAY,134700
45,2115,533,1530,474,2.4167,NEAR BAY,139400
45,2021,528,1410,480,2.7788,NEAR BAY,115400
46,2239,508,1390,569,2.7352,NEAR BAY,137300
52,1477,300,1065,269,1.8472,NEAR BAY,137000
52,1056,224,792,245,2.6583,NEAR BAY,142600
49,898,244,779,245,3.0536,NEAR BAY,137500
44,2968,710,2269,610,2.3906,NEAR BAY,111700
43,1702,460,1227,407,1.7188,NEAR BAY,126800
47,881,248,753,241,2.625,NEAR BAY,111300
40,494,114,547,135,2.8015,NEAR BAY,114800
50,1776,473,1807,440,1.7276,NEAR BAY,102300
44,1678,514,1700,495,2.0801,NEAR BAY,131900
51,1637,463,1543,393,2.489,NEAR BAY,119100
52,1420,314,1085,300,1.7546,NEAR BAY,80600
52,591,173,353,137,4.0904,NEAR BAY,80600
52,745,153,473,149,2.6765,NEAR BAY,88800
49,2272,498,1621,483,2.4338,NEAR BAY,102400
46,1234,375,1183,354,2.3309,NEAR BAY,98700
43,1017,328,836,277,2.2604,NEAR BAY,100000
42,932,254,900,263,1.8039,NEAR BAY,92300
39,2689,597,1888,537,2.2562,NEAR BAY,94800
41,1547,415,1024,341,2.0562,NEAR BAY,102000
52,2300,443,1225,423,3.5398,NEAR BAY,158400
39,1752,399,1071,376,3.1167,NEAR BAY,121600
50,1867,403,1128,378,2.5401,NEAR BAY,129100
43,2430,502,1537,484,2.898,NEAR BAY,121400
44,1729,414,1240,393,2.3125,NEAR BAY,102800
52,1026,180,469,168,2.875,NEAR BAY,160000
52,2170,428,1086,425,3.3715,NEAR BAY,143900
52,2329,445,1144,417,3.5114,NEAR BAY,151200
52,2492,415,1109,375,4.3125,NEAR BAY,164400
52,2198,397,984,369,3.22,NEAR BAY,156500
33,142,31,575,47,3.875,NEAR BAY,225000
49,1183,205,496,209,5.2328,NEAR BAY,174200
52,1070,193,555,190,3.7262,NEAR BAY,166900
45,1766,332,869,327,4.5893,NEAR BAY,163500
39,617,95,236,106,5.2578,NEAR BAY,253000
41,1411,233,626,214,7.0875,NEAR BAY,240700
46,2109,387,922,329,3.9712,NEAR BAY,208100
47,1229,243,582,256,2.9514,NEAR BAY,198100
50,954,217,546,201,2.6667,NEAR BAY,172800
37,1643,262,620,266,5.4446,NEAR BAY,336700
34,1355,195,442,195,6.2838,NEAR BAY,318200
23,2317,336,955,328,6.7527,NEAR BAY,285800
24,2459,317,916,324,7.0712,NEAR BAY,293000
22,12842,2048,4985,1967,5.9849,NEAR BAY,371000
42,1524,260,651,267,3.6875,NEAR BAY,157300
30,3326,746,1704,703,2.875,NEAR BAY,135300
43,1985,440,1085,407,3.4205,NEAR BAY,136700
50,1642,322,713,284,3.2984,NEAR BAY,160700
49,893,177,468,181,3.875,NEAR BAY,140600
52,653,128,296,121,4.175,NEAR BAY,144000
48,977,194,446,180,4.7708,NEAR BAY,156300
45,2324,397,968,384,3.5739,NEAR BAY,176000
39,1583,349,857,316,3.0958,NEAR BAY,145800
39,1612,342,912,322,3.3958,NEAR BAY,141900
31,2424,533,1360,452,1.871,NEAR BAY,90700
41,1594,367,1074,355,1.9356,NEAR BAY,90600
47,2118,413,965,382,2.1842,NEAR BAY,107900
37,1575,358,933,320,2.2917,NEAR BAY,107000
